id;birra;locale;anno;mese;giorno;ora;minuti;secondi;stato
A01;birra;default;2021;2;17;15;10;6;1
A01;Miller;theHome;2021;2;17;15;10;11;1
B01;Guinnes;BTavern;2021;2;17;15;10;13;1
A01;Miller;theHome;2021;2;17;15;10;16;1
B01;Guinnes;BTavern;2021;2;17;15;10;18;1
A01;Miller;theHome;2021;2;17;15;10;21;1
B01;Guinnes;BTavern;2021;2;17;15;10;23;1
A01;Miller;theHome;2021;2;17;15;10;26;1
B01;Guinnes;BTavern;2021;2;17;15;10;28;1
A01;Miller;theHome;2021;2;17;15;10;31;1
B01;Guinnes;BTavern;2021;2;17;15;10;33;1
A01;Miller;theHome;2021;2;17;15;10;36;1
B01;Guinnes;BTavern;2021;2;17;15;10;38;1
A01;Miller;theHome;2021;2;17;15;10;41;1
B01;Guinnes;BTavern;2021;2;17;15;10;43;1
A01;Miller;theHome;2021;2;17;15;10;46;1
B01;Guinnes;BTavern;2021;2;17;15;10;48;1
A01;Miller;theHome;2021;2;17;15;10;51;1
B01;Guinnes;BTavern;2021;2;17;15;10;53;1
A01;Miller;theHome;2021;2;17;15;10;56;1
B01;Guinnes;BTavern;2021;2;17;15;10;58;1
A01;Miller;theHome;2021;2;17;15;11;1;1
B01;Guinnes;BTavern;2021;2;17;15;11;3;1
A01;Miller;theHome;2021;2;17;15;11;6;1
B01;Guinnes;BTavern;2021;2;17;15;11;8;1
A01;Miller;theHome;2021;2;17;15;11;11;1
B01;Guinnes;BTavern;2021;2;17;15;11;13;1
A01;Miller;theHome;2021;2;17;15;11;16;1
B01;Guinnes;BTavern;2021;2;17;15;11;18;1
A01;Miller;theHome;2021;2;17;15;11;21;1
B01;Guinnes;BTavern;2021;2;17;15;11;23;1
A01;Miller;theHome;2021;2;17;15;11;26;1
B01;Guinnes;BTavern;2021;2;17;15;11;28;1
A01;Miller;theHome;2021;2;17;15;11;31;2
B01;Guinnes;BTavern;2021;2;17;15;11;33;1
A01;Miller;theHome;2021;2;17;15;11;36;2
B01;Guinnes;BTavern;2021;2;17;15;11;38;2
A01;Miller;theHome;2021;2;17;15;11;41;2
B01;Guinnes;BTavern;2021;2;17;15;11;43;2
A01;Miller;theHome;2021;2;17;15;11;46;2
B01;Guinnes;BTavern;2021;2;17;15;11;48;2
A01;Miller;theHome;2021;2;17;15;11;51;2
B01;Guinnes;BTavern;2021;2;17;15;11;53;2
A01;Miller;theHome;2021;2;17;15;11;56;3
B01;Guinnes;BTavern;2021;2;17;15;11;58;2
B01;Guinnes;BTavern;2021;2;17;15;12;3;2
A01;Miller;theHome;2021;2;17;15;12;6;1
B01;Guinnes;BTavern;2021;2;17;15;12;8;2
A01;Miller;theHome;2021;2;17;15;12;11;1
B01;Guinnes;BTavern;2021;2;17;15;12;14;2
A01;Miller;theHome;2021;2;17;15;12;16;1
B01;Guinnes;BTavern;2021;2;17;15;12;19;3
A01;Miller;theHome;2021;2;17;15;12;21;1
B01;Guinnes;BTavern;2021;2;17;15;12;24;1
A01;Miller;theHome;2021;2;17;15;12;26;1
B01;Guinnes;BTavern;2021;2;17;15;12;29;1
A01;Miller;theHome;2021;2;17;15;12;31;1
B01;Guinnes;BTavern;2021;2;17;15;12;34;1
A01;Miller;theHome;2021;2;17;15;12;36;1
B01;Guinnes;BTavern;2021;2;17;15;12;39;1
A01;Miller;theHome;2021;2;17;15;12;41;1
B01;Guinnes;BTavern;2021;2;17;15;12;44;1
A01;Miller;theHome;2021;2;17;15;12;46;1
B01;Guinnes;BTavern;2021;2;17;15;12;49;1
A01;Miller;theHome;2021;2;17;15;12;51;1
B01;Guinnes;BTavern;2021;2;17;15;12;54;1
A01;Miller;theHome;2021;2;17;15;12;56;1
B01;Guinnes;BTavern;2021;2;17;15;12;59;1
A01;Miller;theHome;2021;2;17;15;13;1;1
B01;Guinnes;BTavern;2021;2;17;15;13;4;1
A01;Miller;theHome;2021;2;17;15;13;6;1
B01;Guinnes;BTavern;2021;2;17;15;13;9;1
A01;Miller;theHome;2021;2;17;15;13;11;1
B01;Guinnes;BTavern;2021;2;17;15;13;14;1
A01;Miller;theHome;2021;2;17;15;13;16;1
B01;Guinnes;BTavern;2021;2;17;15;13;19;1
A01;Miller;theHome;2021;2;17;15;13;21;1
B01;Guinnes;BTavern;2021;2;17;15;13;24;1
A01;Miller;theHome;2021;2;17;15;13;26;1
B01;Guinnes;BTavern;2021;2;17;15;13;29;1
A01;Miller;theHome;2021;2;17;15;13;31;1
B01;Guinnes;BTavern;2021;2;17;15;13;34;1
A01;Miller;theHome;2021;2;17;15;13;36;2
B01;Guinnes;BTavern;2021;2;17;15;13;39;1
A01;Miller;theHome;2021;2;17;15;13;41;2
B01;Guinnes;BTavern;2021;2;17;15;13;44;1
A01;Miller;theHome;2021;2;17;15;13;46;2
B01;Guinnes;BTavern;2021;2;17;15;13;49;1
A01;Miller;theHome;2021;2;17;15;13;51;3
B01;Guinnes;BTavern;2021;2;17;15;13;54;1
A01;Miller;theHome;2021;2;17;15;13;56;3
B01;Guinnes;BTavern;2021;2;17;15;13;59;3
A01;Miller;theHome;2021;2;17;15;14;1;3
B01;Guinnes;BTavern;2021;2;17;15;14;4;3
A01;Miller;theHome;2021;2;17;15;14;6;3
B01;Guinnes;BTavern;2021;2;17;15;14;9;3
A01;Miller;theHome;2021;2;17;15;18;11;1
B01;Guinnes;BTavern;2021;2;17;15;18;16;1
A01;Miller;theHome;2021;2;17;15;18;16;1
B01;Guinnes;BTavern;2021;2;17;15;18;21;2
A01;Miller;theHome;2021;2;17;15;18;21;1
B01;Guinnes;BTavern;2021;2;17;15;18;26;3
A01;Miller;theHome;2021;2;17;15;18;26;1
B01;Guinnes;BTavern;2021;2;17;15;18;31;3
A01;Miller;theHome;2021;2;17;15;18;31;1
B01;Guinnes;BTavern;2021;2;17;15;18;36;3
A01;Miller;theHome;2021;2;17;15;18;36;1
B01;Guinnes;BTavern;2021;2;17;15;18;41;3
A01;Miller;theHome;2021;2;17;15;18;41;1
B01;Guinnes;BTavern;2021;2;17;15;18;46;3
A01;Miller;theHome;2021;2;17;15;18;46;1
B01;Guinnes;BTavern;2021;2;17;15;18;51;3
A01;Miller;theHome;2021;2;17;15;18;51;1
B01;Guinnes;BTavern;2021;2;17;15;18;56;3
A01;Miller;theHome;2021;2;17;15;18;56;1
B01;Guinnes;BTavern;2021;2;17;15;19;1;3
A01;Miller;theHome;2021;2;17;15;19;1;1
B01;Guinnes;BTavern;2021;2;17;15;19;6;3
A01;Miller;theHome;2021;2;17;15;19;6;2
B01;Guinnes;BTavern;2021;2;17;15;19;11;3
A01;Miller;theHome;2021;2;17;15;19;11;2
B01;Guinnes;BTavern;2021;2;17;15;19;16;3
A01;Miller;theHome;2021;2;17;15;19;16;2
B01;Guinnes;BTavern;2021;2;17;15;19;21;3
A01;Miller;theHome;2021;2;17;15;19;21;3
B01;Guinnes;BTavern;2021;2;17;15;19;26;3
A01;Miller;theHome;2021;2;17;15;19;26;3
B01;Guinnes;BTavern;2021;2;17;15;19;31;3
A01;Miller;theHome;2021;2;17;15;19;32;1
B01;Guinnes;BTavern;2021;2;17;15;19;36;1
A01;Miller;theHome;2021;2;17;15;19;37;1
B01;Guinnes;BTavern;2021;2;17;15;19;41;1
A01;Miller;theHome;2021;2;17;15;19;42;1
B01;Guinnes;BTavern;2021;2;17;15;19;46;1
A01;Miller;theHome;2021;2;17;15;19;47;1
B01;Guinnes;BTavern;2021;2;17;15;19;51;1
A01;Miller;theHome;2021;2;17;15;19;52;3
B01;Guinnes;BTavern;2021;2;17;15;19;56;1
A01;Miller;theHome;2021;2;17;15;19;57;3
B01;Guinnes;BTavern;2021;2;17;15;20;1;1
A01;Miller;theHome;2021;2;17;15;20;2;3
B01;Guinnes;BTavern;2021;2;17;15;20;6;1
A01;Miller;theHome;2021;2;17;15;20;7;3
A01;Miller;theHome;2021;2;17;15;20;12;3
